H2H Points, Outlier?, FG%, Outlier or not?, FT%, Outlier?, 3PTM, Outlier?, PTS, Outlier?, REB, Outlier?, AST, Outlier?, STL, Outlier?, BLK, Outlier?, TO, Outlier? 
2,Yes,0.4393939,No,0.7278106,No,25,Yes,408,Yes,174,No,88,No,24,No,10,No,45,Yes,
3,Yes,0.4615385,No,0.7350993,No,41,No,484,No,210,No,115,No,28,No,18,No,65,No,
5,No,0.4622144,No,0.7580645,No,42,No,553,No,219,No,117,No,29,No,20,No,66,No,
5,No,0.4628906,No,0.7592593,No,42,No,584,No,224,No,125,No,30,No,23,No,67,No,
5,No,0.4662813,No,0.7633588,No,43,No,586,No,228,No,125,No,33,No,25,No,70,No,
6,No,0.4675325,No,0.7724138,No,45,No,595,No,238,No,130,No,34,No,25,No,70,No,
6,No,0.4684685,No,0.7727273,No,45,No,617,No,239,No,135,No,34,No,26,No,72,No,
6,No,0.4758497,No,0.773913,No,48,No,625,No,246,No,138,No,34,No,28,No,73,No,
6,No,0.4769797,No,0.776,No,49,No,630,No,250,No,145,No,34,No,29,No,75,No,
6,No,0.4784483,No,0.7785714,No,50,No,633,No,251,No,146,No,35,No,29,No,77,No,
6,No,0.483871,No,0.7882353,No,50,No,636,No,254,No,152,No,35,No,29,No,78,No,
6,No,0.4841438,No,0.7960526,No,51,No,671,No,256,No,153,No,36,No,31,No,80,No,
6,No,0.4842105,No,0.8043478,No,51,No,675,No,263,No,160,No,37,No,31,No,81,No,
6,No,0.4874477,No,0.8064516,No,52,No,678,No,265,No,161,No,40,No,31,No,81,No,
6,No,0.4895105,No,0.8088235,No,52,No,683,No,269,No,162,No,40,No,32,No,81,No,
7,No,0.4905009,No,0.8260869,No,52,No,705,No,269,No,162,No,41,No,34,No,83,No,
7,No,0.4933078,No,0.8267717,No,56,No,729,No,283,No,162,No,42,No,37,No,86,No,
7,No,0.4941373,No,0.8278146,No,56,No,745,No,284,No,165,No,44,No,39,No,86,No,
8,No,0.4946695,No,0.8291139,No,61,No,747,No,298,No,173,No,45,No,39,No,88,No,
8,No,0.5008881,No,0.8342541,No,63,No,750,No,308,No,177,No,45,No,40,No,89,No,
8,No,0.5053571,No,0.84,No,64,No,757,No,313,No,184,No,47,No,40,No,89,No,
8,No,0.5068762,No,0.8424658,No,65,No,760,No,313,No,191,No,49,No,42,No,92,No,
